personnel_id,rank,abbreviation,service,date
02-8007813,Major,MAJ,Army,24/01/2019
47-3688859,Lieutenant Colonel,LTCOL,Army,13/12/2003
91-2444697,Colonel,COL,Army,24/08/2012
30-8012818,Brigadier,BRIG,Army,30/09/2010
20-1813050,Major General,MAJGEN,Army,29/11/2009
41-4164200,Lieutenant General,LTGEN,Army,29/09/2006
19-1352358,General,GEN,Army,25/09/2024
35-0645961,Aircraftman / Aircraftwoman,AC / ACW ,RAAF,10/02/2006
78-1925475,Leading Aircraftman / Aircraftwoman,LAC / LACW,RAAF,22/06/2005
39-5714613,Corporal,CPL,RAAF,18/10/2016
32-1284512,Sergeant,SGT,RAAF,25/03/2003
28-1623021,Flight Sergeant,FSGT,RAAF,12/06/2023
40-4041172,Warrant Officer,WOFF,RAAF,04/11/2023
78-3355025,Warrant Officer of the Air Force,WOFF-AF ,RAAF,31/05/2019
86-2714182,Officer Cadet,OFFCDT ,RAAF,26/03/2004
01-3680950,Pilot Officer,PLTOFF,RAAF,06/03/2005
68-3469712,Flying Officer,FLGOFF,RAAF,16/10/2022
49-5417263,Flight Lieutenant,FLTLT,RAAF,05/11/2008
87-7980267,Squadron Leader,SQNLDR,RAAF,11/08/2013
24-4668021,Wing Commander,WGCDR,RAAF,01/07/2010
31-2391946,Group Captain,GPCAPT,RAAF,31/08/2011
37-3238544,Air Commodore,AIRCDRE,RAAF,28/01/2012
30-8555138,Air Vice-Marshal,AVM,RAAF,23/12/2006
45-0506585,Air Marshal,AIRMSHL,RAAF,03/11/2006
24-5552545,Air Chief Marshal,ACM,RAAF,04/07/2020
07-9498668,Seaman,SMN,RAN,10/01/2024
66-4911899,Able Seaman,AB,RAN,09/09/2023
36-7360640,Leading Seaman,LS,RAN,20/10/2006
99-6163623,Petty Officer,PO,RAN,27/02/2005
15-1369458,Chief Petty Officer,CPO,RAN,14/03/2012
90-7077960,Warrant Officer,WO,RAN,21/07/2011
36-1079541,Warrant Officer of the Navy,WO-N,RAN,13/03/2004
06-4124741,Midshipman,MIDN,RAN,13/01/2013
70-2812540,Acting Sub Lieutenant,SBLT,RAN,20/12/2020
67-2704569,Sub Lieutenant,SBLT,RAN,19/02/2001
36-4030039,Lieutenant,LEUT,RAN,30/12/2008
29-6451439,Lieutenant Commander,LCDR,RAN,14/06/2011
10-2160714,Chaplain,CHAP,RAN,27/07/2016
44-3539704,Commander,CMDR,RAN,22/04/2020
38-8566209,Captain,CAPT,RAN,02/01/2016
76-4274499,Commodore,CDRE,RAN,22/03/2013
67-8787698,Rear Admiral,RADM,RAN,10/01/2013
45-9007309,Vice Admiral,VADM,RAN,17/07/2015
74-3133549,Admiral,ADML,RAN,25/01/2016
16-9491842,Private,PTE,Army,22/05/2008
90-5739712,Lance Corporal,LCPL,Army,06/06/2013
98-3797615,Corporal,CPL,Army,24/04/2012
44-8579835,Sergeant,SGT,Army,03/07/2021
00-8456629,Staff Sergeant,SSGT ,Army,26/10/2023
56-7358944,Warrant Officer Class Two,WO2,Army,16/08/2013
61-5856024,Warrant Officer Class One,WO1,Army,16/09/2008
44-4430854,Regimental Sergeant Major of the Army,RSM-A,Army,21/01/2002
57-2441269,Officer Cadet,OCDT,Army,08/02/2016
59-3339438,2nd Lieutenant,2LT,Army,06/05/2021
19-1792606,Lieutenant,LT,Army,03/12/2015
19-0931980,Captain,CAPT,Army,15/03/2014
77-5465106,Major,MAJ,Army,21/10/2004
55-4300729,Lieutenant Colonel,LTCOL,Army,26/04/2006
40-5196115,Colonel,COL,Army,01/12/2015
56-6649469,Brigadier,BRIG,Army,16/03/2017
70-0324853,Major General,MAJGEN,Army,10/12/2019
10-2551430,Lieutenant General,LTGEN,Army,03/03/2009
37-4859621,General,GEN,Army,01/02/2022
23-6221073,Aircraftman / Aircraftwoman,AC / ACW ,RAAF,19/08/2015
30-1831056,Leading Aircraftman / Aircraftwoman,LAC / LACW,RAAF,07/04/2010
49-1642881,Corporal,CPL,RAAF,11/04/2020
68-1797480,Sergeant,SGT,RAAF,20/02/2001
21-8690927,Flight Sergeant,FSGT,RAAF,19/11/2023
72-5452710,Warrant Officer,WOFF,RAAF,21/02/2002
38-2980358,Warrant Officer of the Air Force,WOFF-AF ,RAAF,28/08/2021
22-2122053,Officer Cadet,OFFCDT ,RAAF,31/07/2006
60-1725427,Pilot Officer,PLTOFF,RAAF,23/04/2016
18-7498727,Flying Officer,FLGOFF,RAAF,08/08/2003
15-4159412,Flight Lieutenant,FLTLT,RAAF,26/06/2009
93-1944895,Squadron Leader,SQNLDR,RAAF,28/12/2002
94-1699715,Wing Commander,WGCDR,RAAF,25/04/2023
18-3697728,Group Captain,GPCAPT,RAAF,17/03/2019
13-6194050,Air Commodore,AIRCDRE,RAAF,10/01/2019
78-3867261,Air Vice-Marshal,AVM,RAAF,30/01/2013
84-9771457,Air Marshal,AIRMSHL,RAAF,30/01/2014
08-8972067,Air Chief Marshal,ACM,RAAF,20/11/2002
78-1889680,Seaman,SMN,RAN,03/03/2010
01-0053872,Able Seaman,AB,RAN,08/11/2012
88-0904686,Leading Seaman,LS,RAN,11/10/2015
33-5760959,Petty Officer,PO,RAN,20/09/2017
70-9022698,Chief Petty Officer,CPO,RAN,12/04/2004
14-6907746,Warrant Officer,WO,RAN,08/09/2007
87-2547822,Warrant Officer of the Navy,WO-N,RAN,25/07/2020
20-9900225,Midshipman,MIDN,RAN,25/05/2010
35-2220229,Acting Sub Lieutenant,SBLT,RAN,02/01/2016
13-6513552,Sub Lieutenant,SBLT,RAN,17/01/2017
94-6150059,Lieutenant,LEUT,RAN,06/12/2020
01-5513859,Lieutenant Commander,LCDR,RAN,16/12/2017
44-5091499,Chaplain,CHAP,RAN,13/02/2019
20-3058943,Commander,CMDR,RAN,18/04/2001
23-6677808,Captain,CAPT,RAN,10/01/2005
99-0367146,Commodore,CDRE,RAN,19/04/2001
93-5225247,Rear Admiral,RADM,RAN,24/06/2008
95-4542421,Vice Admiral,VADM,RAN,11/12/2007
52-1122838,Admiral,ADML,RAN,24/10/2007
85-7595618,Private,PTE,Army,18/11/2016
06-6607094,Lance Corporal,LCPL,Army,05/11/2015
31-2314592,Corporal,CPL,Army,25/03/2018
68-9107583,Sergeant,SGT,Army,29/07/2013
21-6850492,Staff Sergeant,SSGT ,Army,12/01/2000
18-4604123,Warrant Officer Class Two,WO2,Army,04/06/2001
57-1762560,Warrant Officer Class One,WO1,Army,29/01/2010
29-1227649,Regimental Sergeant Major of the Army,RSM-A,Army,09/09/2018
13-4886840,Officer Cadet,OCDT,Army,25/12/2020
10-9264975,2nd Lieutenant,2LT,Army,14/09/2009
04-0930481,Lieutenant,LT,Army,15/07/2011
51-5720317,Captain,CAPT,Army,10/11/2007
00-0999990,Major,MAJ,Army,03/05/2018
65-7411875,Lieutenant Colonel,LTCOL,Army,05/05/2001
60-1430501,Colonel,COL,Army,08/10/2015
17-7753109,Brigadier,BRIG,Army,06/10/2009
74-3384105,Major General,MAJGEN,Army,11/10/2006
88-9030625,Lieutenant General,LTGEN,Army,29/12/2014
61-8689975,General,GEN,Army,12/09/2005
10-6173578,Aircraftman / Aircraftwoman,AC / ACW ,RAAF,22/12/2011
47-5409347,Leading Aircraftman / Aircraftwoman,LAC / LACW,RAAF,07/08/2024
68-4342262,Corporal,CPL,RAAF,24/12/2006
58-1909951,Sergeant,SGT,RAAF,11/10/2007
29-8203414,Flight Sergeant,FSGT,RAAF,13/07/2015
57-3121506,Warrant Officer,WOFF,RAAF,03/07/2021
77-1387202,Warrant Officer of the Air Force,WOFF-AF ,RAAF,24/01/2018
68-6970987,Officer Cadet,OFFCDT ,RAAF,09/11/2003
32-1345682,Pilot Officer,PLTOFF,RAAF,24/01/2018
67-3130995,Flying Officer,FLGOFF,RAAF,18/11/2004
08-8304214,Flight Lieutenant,FLTLT,RAAF,23/01/2005
71-1927957,Squadron Leader,SQNLDR,RAAF,04/03/2009
92-1856861,Wing Commander,WGCDR,RAAF,13/08/2003
99-3118684,Group Captain,GPCAPT,RAAF,11/02/2006
04-5772276,Air Commodore,AIRCDRE,RAAF,22/04/2008
94-0787105,Air Vice-Marshal,AVM,RAAF,22/05/2014
43-5840577,Air Marshal,AIRMSHL,RAAF,11/09/2023
18-3495016,Air Chief Marshal,ACM,RAAF,18/01/2021
43-1193222,Seaman,SMN,RAN,15/08/2001
33-0094668,Able Seaman,AB,RAN,11/09/2015
27-0652637,Leading Seaman,LS,RAN,22/07/2023
00-4199758,Petty Officer,PO,RAN,08/06/2019
16-1494568,Chief Petty Officer,CPO,RAN,02/09/2001
08-7149838,Warrant Officer,WO,RAN,27/09/2008
66-2915041,Warrant Officer of the Navy,WO-N,RAN,03/03/2024
58-7618165,Midshipman,MIDN,RAN,10/02/2018
82-6374654,Acting Sub Lieutenant,SBLT,RAN,29/11/2020
15-1165683,Sub Lieutenant,SBLT,RAN,23/01/2022
36-2849426,Lieutenant,LEUT,RAN,30/06/2022
93-3131785,Lieutenant Commander,LCDR,RAN,21/05/2020
87-5919228,Chaplain,CHAP,RAN,31/10/2011
07-4906354,Commander,CMDR,RAN,08/01/2011
99-1670063,Captain,CAPT,RAN,28/08/2016
52-3715329,Commodore,CDRE,RAN,02/09/2011
58-4764835,Rear Admiral,RADM,RAN,01/06/2004
19-3515633,Vice Admiral,VADM,RAN,29/05/2016
55-2578086,Admiral,ADML,RAN,25/01/2014
97-7189301,Private,PTE,Army,09/06/2022
78-8615861,Lance Corporal,LCPL,Army,17/05/2022
63-4743824,Corporal,CPL,Army,20/01/2016
75-3283741,Sergeant,SGT,Army,23/12/2011
33-3138337,Staff Sergeant,SSGT ,Army,19/07/2020
60-5596278,Warrant Officer Class Two,WO2,Army,23/04/2006
87-2407439,Warrant Officer Class One,WO1,Army,19/05/2008
34-5233481,Regimental Sergeant Major of the Army,RSM-A,Army,24/09/2022
25-9509113,Officer Cadet,OCDT,Army,11/03/2015
22-2747138,2nd Lieutenant,2LT,Army,12/01/2003
80-6781749,Lieutenant,LT,Army,28/04/2014
57-3788467,Captain,CAPT,Army,03/12/2012
85-0048658,Major,MAJ,Army,14/06/2009
02-9589726,Lieutenant Colonel,LTCOL,Army,21/11/2014
53-1283193,Colonel,COL,Army,08/08/2020
44-7412350,Brigadier,BRIG,Army,27/12/2009
77-1625856,Major General,MAJGEN,Army,09/11/2014
33-3084765,Lieutenant General,LTGEN,Army,22/06/2019
42-5346492,General,GEN,Army,25/10/2006
45-4097848,Aircraftman / Aircraftwoman,AC / ACW ,RAAF,30/03/2013
17-6541564,Leading Aircraftman / Aircraftwoman,LAC / LACW,RAAF,29/10/2009
37-5890192,Corporal,CPL,RAAF,18/07/2006
07-8651653,Sergeant,SGT,RAAF,01/07/2001
73-1082324,Flight Sergeant,FSGT,RAAF,14/07/2001
92-8342239,Warrant Officer,WOFF,RAAF,15/05/2019
97-4028902,Warrant Officer of the Air Force,WOFF-AF ,RAAF,24/01/2013
01-0251025,Officer Cadet,OFFCDT ,RAAF,30/10/2017
94-1404649,Pilot Officer,PLTOFF,RAAF,21/06/2022
00-7142512,Flying Officer,FLGOFF,RAAF,25/06/2013
90-5347623,Flight Lieutenant,FLTLT,RAAF,12/03/2005
24-3070316,Squadron Leader,SQNLDR,RAAF,03/09/2009
41-1891698,Wing Commander,WGCDR,RAAF,17/02/2021
98-8865329,Group Captain,GPCAPT,RAAF,09/02/2007
97-5420854,Air Commodore,AIRCDRE,RAAF,20/10/2018
00-0884264,Air Vice-Marshal,AVM,RAAF,28/05/2019
11-0039114,Air Marshal,AIRMSHL,RAAF,30/12/2010
76-7492123,Air Chief Marshal,ACM,RAAF,23/03/2013
64-1616446,Seaman,SMN,RAN,08/06/2008
00-8668806,Able Seaman,AB,RAN,03/02/2022
44-1701341,Leading Seaman,LS,RAN,25/12/2017
47-8255805,Petty Officer,PO,RAN,23/06/2023
21-1766254,Chief Petty Officer,CPO,RAN,08/06/2016
36-6116726,Warrant Officer,WO,RAN,26/06/2008
38-4877833,Warrant Officer of the Navy,WO-N,RAN,30/06/2012
11-3427193,Midshipman,MIDN,RAN,02/10/2010
98-3529131,Acting Sub Lieutenant,SBLT,RAN,25/04/2002
74-2792439,Sub Lieutenant,SBLT,RAN,21/07/2006
84-6396381,Lieutenant,LEUT,RAN,18/09/2007
15-7173203,Lieutenant Commander,LCDR,RAN,26/08/2018
64-1300488,Chaplain,CHAP,RAN,01/02/2014
91-3276008,Commander,CMDR,RAN,24/07/2013
39-0973138,Captain,CAPT,RAN,09/06/2004
05-9218728,Commodore,CDRE,RAN,27/06/2001
56-1864126,Rear Admiral,RADM,RAN,31/12/2019
86-2834715,Vice Admiral,VADM,RAN,24/11/2008
57-0055006,Admiral,ADML,RAN,03/09/2003
40-8708167,Private,PTE,Army,13/09/2012
78-3132320,Lance Corporal,LCPL,Army,11/07/2023
93-6142528,Corporal,CPL,Army,01/12/2019
07-8788555,Sergeant,SGT,Army,24/03/2019
66-0759413,Staff Sergeant,SSGT ,Army,17/04/2006
56-4330432,Warrant Officer Class Two,WO2,Army,23/11/2003
36-7746195,Warrant Officer Class One,WO1,Army,09/02/2021
77-8068184,Regimental Sergeant Major of the Army,RSM-A,Army,28/09/2018
37-5192705,Officer Cadet,OCDT,Army,16/09/2011
89-1334576,2nd Lieutenant,2LT,Army,09/08/2009
07-4939406,Lieutenant,LT,Army,07/04/2013
56-9109231,Captain,CAPT,Army,04/01/2014
40-2599974,Major,MAJ,Army,26/03/2016
73-8479572,Lieutenant Colonel,LTCOL,Army,04/12/2014
58-1281720,Colonel,COL,Army,08/09/2017
78-3253141,Brigadier,BRIG,Army,29/06/2022
45-6834644,Major General,MAJGEN,Army,04/05/2016
23-1177039,Lieutenant General,LTGEN,Army,20/03/2020
11-0315520,General,GEN,Army,02/07/2016
33-1151101,Aircraftman / Aircraftwoman,AC / ACW ,RAAF,04/11/2011
29-1355064,Leading Aircraftman / Aircraftwoman,LAC / LACW,RAAF,12/03/2012
67-3417765,Corporal,CPL,RAAF,17/10/2012
74-6179510,Sergeant,SGT,RAAF,20/09/2014
08-3144138,Flight Sergeant,FSGT,RAAF,10/11/2009
40-8152992,Warrant Officer,WOFF,RAAF,27/04/2006
28-1468289,Warrant Officer of the Air Force,WOFF-AF ,RAAF,28/05/2024
45-2820507,Officer Cadet,OFFCDT ,RAAF,30/09/2008
20-6175130,Pilot Officer,PLTOFF,RAAF,08/07/2016
49-3330663,Flying Officer,FLGOFF,RAAF,02/07/2022
82-8188103,Flight Lieutenant,FLTLT,RAAF,15/06/2012
33-6664786,Squadron Leader,SQNLDR,RAAF,11/04/2011
20-0911950,Wing Commander,WGCDR,RAAF,16/11/2022
16-9784239,Group Captain,GPCAPT,RAAF,01/12/2019
83-6336637,Air Commodore,AIRCDRE,RAAF,05/07/2018
03-1588123,Air Vice-Marshal,AVM,RAAF,06/05/2014
46-2240953,Air Marshal,AIRMSHL,RAAF,16/07/2017
45-1925923,Air Chief Marshal,ACM,RAAF,21/05/2024
73-0398331,Seaman,SMN,RAN,27/12/2005
99-6519064,Able Seaman,AB,RAN,29/05/2013
19-9003188,Leading Seaman,LS,RAN,10/09/2017
79-4082764,Petty Officer,PO,RAN,11/12/2014
00-8363474,Chief Petty Officer,CPO,RAN,21/09/2010
49-3561121,Warrant Officer,WO,RAN,08/01/2021
34-8865113,Warrant Officer of the Navy,WO-N,RAN,28/06/2016
64-9770525,Midshipman,MIDN,RAN,29/08/2012
53-1258162,Acting Sub Lieutenant,SBLT,RAN,20/03/2005
35-4267191,Sub Lieutenant,SBLT,RAN,08/06/2024
61-2372634,Lieutenant,LEUT,RAN,07/03/2010
78-9873552,Lieutenant Commander,LCDR,RAN,03/07/2024
64-0351836,Chaplain,CHAP,RAN,13/10/2004
49-0729701,Commander,CMDR,RAN,19/11/2017
12-5347438,Captain,CAPT,RAN,07/01/2007
72-6645722,Commodore,CDRE,RAN,27/02/2024
08-8503359,Rear Admiral,RADM,RAN,19/01/2015
17-5812294,Vice Admiral,VADM,RAN,01/01/2005
07-3542801,Admiral,ADML,RAN,02/09/2015
52-4513997,Private,PTE,Army,10/09/2011
55-8232404,Lance Corporal,LCPL,Army,22/05/2004
47-9655383,Corporal,CPL,Army,14/02/2008
39-9838883,Sergeant,SGT,Army,01/03/2021
86-5306160,Staff Sergeant,SSGT ,Army,14/08/2016
24-6045094,Warrant Officer Class Two,WO2,Army,23/03/2019
88-8632255,Warrant Officer Class One,WO1,Army,07/07/2010
87-9324314,Regimental Sergeant Major of the Army,RSM-A,Army,25/05/2018
97-3366835,Officer Cadet,OCDT,Army,21/09/2018
21-3615271,2nd Lieutenant,2LT,Army,18/10/2020
78-9367160,Lieutenant,LT,Army,25/12/2008
01-4871671,Captain,CAPT,Army,28/12/2019
08-6307844,Major,MAJ,Army,06/01/2020
78-2999525,Lieutenant Colonel,LTCOL,Army,03/07/2013
09-8609665,Colonel,COL,Army,16/04/2003
09-4742548,Brigadier,BRIG,Army,22/10/2020
86-5899340,Major General,MAJGEN,Army,02/06/2010
89-1238682,Lieutenant General,LTGEN,Army,13/09/2010
91-9580438,General,GEN,Army,29/05/2008
97-3299940,Aircraftman / Aircraftwoman,AC / ACW ,RAAF,15/11/2023
44-9120466,Leading Aircraftman / Aircraftwoman,LAC / LACW,RAAF,06/02/2010
19-4683074,Corporal,CPL,RAAF,22/02/2010
21-4149563,Sergeant,SGT,RAAF,08/07/2019
86-7360760,Flight Sergeant,FSGT,RAAF,02/09/2015
78-2496701,Warrant Officer,WOFF,RAAF,29/12/2000
46-3729041,Warrant Officer of the Air Force,WOFF-AF ,RAAF,28/10/2014
27-9878238,Officer Cadet,OFFCDT ,RAAF,31/05/2023
47-6789945,Pilot Officer,PLTOFF,RAAF,31/05/2001
81-4930556,Flying Officer,FLGOFF,RAAF,14/05/2016
60-8767993,Flight Lieutenant,FLTLT,RAAF,09/06/2019
41-1728220,Squadron Leader,SQNLDR,RAAF,25/01/2004
34-3038474,Wing Commander,WGCDR,RAAF,18/08/2004
14-5841443,Group Captain,GPCAPT,RAAF,08/07/2024
42-1624102,Air Commodore,AIRCDRE,RAAF,29/12/2006
56-8587084,Air Vice-Marshal,AVM,RAAF,13/04/2004
67-4678682,Air Marshal,AIRMSHL,RAAF,16/02/2022
52-3167877,Air Chief Marshal,ACM,RAAF,23/03/2019
02-0470256,Seaman,SMN,RAN,18/04/2024
22-6044800,Able Seaman,AB,RAN,14/09/2013
80-5794146,Leading Seaman,LS,RAN,05/03/2011
43-5969696,Petty Officer,PO,RAN,01/07/2007
22-0800779,Chief Petty Officer,CPO,RAN,15/08/2006
23-0353698,Warrant Officer,WO,RAN,02/11/2007
30-7509005,Warrant Officer of the Navy,WO-N,RAN,07/06/2016
23-0904640,Midshipman,MIDN,RAN,16/12/2006
10-0669923,Acting Sub Lieutenant,SBLT,RAN,16/03/2009
18-0335977,Sub Lieutenant,SBLT,RAN,25/05/2022
72-4222158,Lieutenant,LEUT,RAN,07/11/2015
73-1592954,Lieutenant Commander,LCDR,RAN,23/12/2010
38-8337924,Chaplain,CHAP,RAN,08/08/2014
35-4259628,Commander,CMDR,RAN,23/11/2021
67-1645735,Captain,CAPT,RAN,25/10/2017
50-3917712,Commodore,CDRE,RAN,11/01/2014
84-0613941,Rear Admiral,RADM,RAN,28/05/2006
73-9189607,Vice Admiral,VADM,RAN,21/01/2011
27-6876819,Admiral,ADML,RAN,17/02/2011
02-2553466,Private,PTE,Army,08/02/2012
43-5655638,Lance Corporal,LCPL,Army,20/10/2023
09-8083953,Corporal,CPL,Army,06/02/2007
34-5341976,Sergeant,SGT,Army,20/05/2017
88-1692843,Staff Sergeant,SSGT ,Army,06/06/2017
76-9314869,Warrant Officer Class Two,WO2,Army,06/07/2009
63-4665531,Warrant Officer Class One,WO1,Army,02/07/2002
00-5841954,Regimental Sergeant Major of the Army,RSM-A,Army,15/07/2009
49-4806113,Officer Cadet,OCDT,Army,19/09/2003
03-0956395,2nd Lieutenant,2LT,Army,04/06/2009
75-5764579,Lieutenant,LT,Army,25/07/2015
61-1346201,Captain,CAPT,Army,08/05/2007
19-9244765,Major,MAJ,Army,21/05/2013
72-3628085,Lieutenant Colonel,LTCOL,Army,22/07/2024
37-5197081,Colonel,COL,Army,23/12/2016
13-9283040,Brigadier,BRIG,Army,03/03/2018
62-0418325,Major General,MAJGEN,Army,25/05/2024
82-1598213,Lieutenant General,LTGEN,Army,08/11/2021
83-1361669,General,GEN,Army,16/05/2001
39-8953231,Aircraftman / Aircraftwoman,AC / ACW ,RAAF,28/06/2004
58-1384871,Leading Aircraftman / Aircraftwoman,LAC / LACW,RAAF,22/04/2020
52-9908840,Corporal,CPL,RAAF,16/02/2007
49-0424941,Sergeant,SGT,RAAF,26/02/2023
43-1017172,Flight Sergeant,FSGT,RAAF,21/09/2024
43-1496417,Warrant Officer,WOFF,RAAF,11/07/2013
13-2552509,Warrant Officer of the Air Force,WOFF-AF ,RAAF,07/01/2005
30-3210396,Officer Cadet,OFFCDT ,RAAF,10/11/2004
06-9109539,Pilot Officer,PLTOFF,RAAF,14/11/2023
91-1880023,Flying Officer,FLGOFF,RAAF,23/06/2015
56-1239648,Flight Lieutenant,FLTLT,RAAF,29/11/2010
68-1263142,Squadron Leader,SQNLDR,RAAF,16/03/2008
56-4229260,Wing Commander,WGCDR,RAAF,25/09/2021
18-9019270,Group Captain,GPCAPT,RAAF,12/11/2022
94-4172376,Air Commodore,AIRCDRE,RAAF,16/02/2022
93-4318825,Air Vice-Marshal,AVM,RAAF,04/08/2021
59-1015009,Air Marshal,AIRMSHL,RAAF,23/10/2022
99-6006776,Air Chief Marshal,ACM,RAAF,22/03/2011
88-6053614,Seaman,SMN,RAN,02/06/2006
16-5197940,Able Seaman,AB,RAN,05/01/2016
41-4602289,Leading Seaman,LS,RAN,19/07/2020
85-6970809,Petty Officer,PO,RAN,29/03/2002
62-5061720,Chief Petty Officer,CPO,RAN,23/04/2018
43-5804655,Warrant Officer,WO,RAN,20/01/2019
36-0802866,Warrant Officer of the Navy,WO-N,RAN,30/07/2005
50-4821323,Midshipman,MIDN,RAN,01/02/2012
09-6872591,Acting Sub Lieutenant,SBLT,RAN,07/06/2024
10-4327544,Sub Lieutenant,SBLT,RAN,03/01/2005
06-8316524,Lieutenant,LEUT,RAN,04/10/2015
27-2337471,Lieutenant Commander,LCDR,RAN,01/07/2015
03-0655446,Chaplain,CHAP,RAN,10/02/2016
99-5082803,Commander,CMDR,RAN,29/04/2018
74-7873094,Captain,CAPT,RAN,19/12/2014
38-5577382,Commodore,CDRE,RAN,06/08/2006
37-4931397,Rear Admiral,RADM,RAN,30/10/2017
70-5583326,Vice Admiral,VADM,RAN,06/09/2007
63-4096414,Admiral,ADML,RAN,08/06/2018
97-1922063,Private,PTE,Army,14/08/2009
77-4414473,Lance Corporal,LCPL,Army,21/05/2007
15-0983659,Corporal,CPL,Army,23/12/2009
21-3100446,Sergeant,SGT,Army,08/06/2022
38-6617444,Staff Sergeant,SSGT ,Army,05/05/2012
56-7590035,Warrant Officer Class Two,WO2,Army,03/08/2021
26-6113601,Warrant Officer Class One,WO1,Army,08/07/2017
49-0265434,Regimental Sergeant Major of the Army,RSM-A,Army,17/10/2018
33-3009672,Officer Cadet,OCDT,Army,05/10/2001
36-7778168,2nd Lieutenant,2LT,Army,13/02/2012
21-9593501,Lieutenant,LT,Army,31/08/2014
32-5608640,Captain,CAPT,Army,28/06/2001
82-8357123,Major,MAJ,Army,27/02/2001
41-5674101,Lieutenant Colonel,LTCOL,Army,24/02/2001
70-7997725,Colonel,COL,Army,16/01/2022
60-3881459,Brigadier,BRIG,Army,04/07/2002
